Month,Day,Country,Page title,Page path and screen class,Total Sessions,Total Views per session,Total Average session duration,Total Bounce rate,Desktop Average session duration,Desktop Bounce rate,Mobile Average session duration,Mobile Bounce rate,Is_RD
1,21,United States,Rural Development,/,8204,1.585080449,117.4309004,0.242442711,126.6004623,0.237750422,103.8750983,0.24707887,True
8,12,United States,Rural Development,/,6018,1.035061482,34.94818587,0.098039216,29.16679173,0.073653846,71.67353057,0.269326683,True
1,21,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,5934,1.254634311,96.01298106,0.107347489,105.1527651,0.083367058,86.71172483,0.133528551,True
1,21,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,6161,1.232592112,191.7367012,0.251582535,239.2087464,0.217889908,155.5729907,0.284932296,True
8,19,United States,Rural Development,/,5021,1.075482972,40.59440099,0.51244772,34.90533279,0.558229066,67.00601225,0.298349057,True
2,20,United States,Rural Development,/,4654,1.130855178,75.13911461,0.250752041,102.791225,0.208719346,56.60980327,0.281329,True
8,6,United States,Rural Development,/,4232,1.061909263,51.93858563,0.134688091,47.14488632,0.101231601,70.61401995,0.27262181,True
8,12,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,4396,2.137170155,54.16223061,0.146951774,50.34099566,0.146989094,138.4437729,0.206521739,True
1,22,United States,Rural Development,/,4517,1.142351118,81.45732824,0.257250387,101.0748369,0.21047619,65.35508737,0.287505404,True
1,28,United States,Rural Development,/,4264,1.1369606,81.00809928,0.28564728,104.0273336,0.199690402,61.71118463,0.322652425,True
8,5,United States,Rural Development,/,3970,1.065743073,54.50317413,0.132745592,47.61446023,0.106743368,80.57028547,0.27955665,True
3,5,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3949,1.183337554,86.73736321,0.268422385,95.75503226,0.12057272,84.3820712,0.347982421,True
1,27,United States,Rural Development,/,4073,1.166953106,88.80572032,0.242082003,119.9879671,0.18482906,60.72246999,0.303908046,True
2,19,United States,Rural Development,/,3992,1.120240481,73.78611256,0.22995992,100.6961033,0.182835821,56.97273933,0.273365511,True
1,23,United States,Rural Development,/,3963,1.166792834,91.37383763,0.245016402,107.53703,0.187205034,74.38935189,0.286263208,True
2,3,United States,Rural Development,/,3953,1.151024538,89.06529788,0.286870731,110.9766267,0.241798942,69.01334193,0.324216808,True
1,19,United States,Rural Development,/,3498,1.097770154,42.11821081,0.630074328,40.50818057,0.694811801,43.34381952,0.554830287,True
1,24,United States,Rural Development,/,3874,1.15074858,86.22453448,0.264326278,102.1342746,0.20815047,73.61105187,0.308921438,True
8,12,United States,Browse by State | Rural Development,/browse-state,3375,1.041777778,17.22126799,0.043259259,14.63151022,0.04424203,47.03430289,0.032967033,True
2,18,United States,Rural Development,/,3703,1.158520119,98.12801333,0.221982177,107.0482533,0.194733619,88.65525955,0.252060107,True
10,28,United States,Rural Development,/,3661,1.124829282,83.11062767,0.352909041,112.7565607,0.227467811,63.073766,0.434139785,True
12,1,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,7144,1.715705487,358.1260906,0.508398656,255.9929036,0.502712477,534.8912342,0.488922268,True
10,29,United States,Rural Development,/,3608,1.126385809,73.73074233,0.391629712,96.50666396,0.231932773,61.79963029,0.475792988,True
11,21,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6249,1.346615458,238.4774801,0.528404545,199.9124187,0.515456145,314.1305495,0.546811398,True
1,22,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3450,1.22173913,94.85358723,0.100869565,101.8707146,0.081529582,90.21403566,0.114729459,True
6,24,United States,Rural Development,/,3427,1.089874526,68.10029845,0.191129268,68.99999294,0.162140889,63.15486425,0.278481013,True
11,24,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6684,1.503291442,306.3527929,0.520496709,232.9267953,0.526266636,440.4886477,0.526515152,True
8,11,United States,Rural Development,/,3452,1.052723059,55.04856711,0.14165701,53.57871238,0.107846927,64.168906,0.270725389,True
6,10,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,3383,1.083357966,62.0025955,0.441619864,50.07749316,0.4562986,267.8881323,0.225274725,True
11,17,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,5871,1.369783683,257.1761226,0.48322262,225.4205596,0.472360671,366.926943,0.529579473,True
12,2,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6925,1.887220217,396.6570573,0.502815884,282.5948061,0.516335227,550.7075342,0.493082653,True
2,11,United States,Rural Development,/,3409,1.182458199,88.65285734,0.241419771,103.7098036,0.246789503,67.74454242,0.28177458,True
1,27,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3345,1.273542601,106.110032,0.111210762,118.2676218,0.066526611,93.61239963,0.141213389,True
1,31,United States,Rural Development,/,3483,1.136376687,70.26704369,0.25667528,74.20499784,0.186628187,63.74053355,0.352635486,True
11,18,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,5974,1.470873786,267.3792058,0.504017409,218.3734011,0.504481132,375.8373241,0.52,True
11,19,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6145,1.51554109,308.1041156,0.512449146,266.8719766,0.515369837,388.1116029,0.509677419,True
2,21,United States,Rural Development,/,3500,1.108285714,77.68020568,0.302571429,101.8646479,0.223938224,64.4547339,0.332859175,True
1,23,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3277,1.218187366,92.72088115,0.122062862,93.92342662,0.083213773,89.33266871,0.141559829,True
10,27,United States,Rural Development,/,3365,1.127786033,83.15324849,0.341456166,113.6653838,0.236641221,63.61248973,0.398788491,True
3,18,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3242,1.254472548,96.02717488,0.118136952,96.85292374,0.079215686,94.01558864,0.127074689,True
3,18,United States,Rural Development,/,3280,1.191768293,88.57205478,0.192987805,108.1610091,0.158415842,70.04051042,0.2400906,True
11,20,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6008,1.417443409,236.0537596,0.508155792,222.794687,0.496229261,264.7118548,0.53,True
6,24,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3430,1.225072886,169.3196452,0.251020408,182.5090831,0.209615385,155.4565655,0.285867238,True
2,4,United States,Rural Development,/,3435,1.145269287,84.72744218,0.271906841,110.9881584,0.221120187,59.06745488,0.307926829,True
3,19,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3466,1.203981535,214.2942753,0.259953837,276.081748,0.232851986,158.1664233,0.273037543,True
1,28,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3275,1.229923664,101.1163722,0.111450382,106.8451632,0.086510264,100.2330113,0.124103696,True
2,12,United States,Rural Development,/,3283,1.17758148,91.56037069,0.217788608,113.864083,0.189274448,66.64921797,0.288,True
1,12,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3407,1.251540945,181.2757602,0.249192838,212.7163974,0.2115797,161.8511237,0.250650026,True
8,6,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3384,1.230496454,179.5517275,0.250591017,202.8355359,0.214849921,163.9139565,0.272596154,True
1,28,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3373,1.248739994,205.9907876,0.218796324,239.2831742,0.205043132,174.5838978,0.247488102,True
1,5,United States,Single Family Housing Guaranteed Loan Program | Rural Development,/programs-services/single-family-housing-programs/single-family-housing-guaranteed-loan-program,3379,1.223142942,175.8446367,0.248890204,219.6804534,0.198170732,150.9669459,0.264282166,True
11,25,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6581,1.697310439,368.960531,0.503570886,262.9015086,0.519875292,532.0080968,0.490417136,True
3,19,United States,Single Family Housing Programs | Rural Development,/programs-services/single-family-housing-programs,3124,1.230793854,96.52655885,0.118758003,103.5066752,0.082532051,92.70594985,0.134942403,True
12,3,United States,USDA LINC Training & Resource Library | Rural Development,/resources/usda-linc-training-resource-library,6645,1.825733634,396.2693647,0.514221219,281.1283706,0.511829051,552.915271,0.530873219,True
1,29,United States,Rural Development,/,3366,1.149435532,86.24362082,0.271538919,104.8565147,0.234180958,66.58158158,0.313186813,True
